measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,559,Oklahoma,3,Both,22,All ages,1008,Eye cancer,1,Number,1990,4.021470530244589,4.9136870095587515,3.313662956829335
1,Deaths,545,Michigan,3,Both,22,All ages,423,Larynx cancer,1,Number,1990,164.92970977334645,182.62836092659015,148.3484883651381
1,Deaths,545,Michigan,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",1,Number,1990,5665.128781485528,5928.241888449277,5327.676080870763
1,Deaths,545,Michigan,3,Both,22,All ages,429,Breast cancer,1,Number,1990,1813.0940769440883,1959.9995916440178,1663.5480454401345
1,Deaths,545,Michigan,3,Both,22,All ages,432,Cervical cancer,1,Number,1990,219.58868836364758,254.1582078377762,190.35411188246223
1,Deaths,545,Michigan,3,Both,22,All ages,435,Uterine cancer,1,Number,1990,204.15873401819155,234.64022577598823,170.8591804749247
1,Deaths,545,Michigan,3,Both,22,All ages,438,Prostate cancer,1,Number,1990,1328.9544140647579,1414.7090276010963,1233.6330939416007
1,Deaths,545,Michigan,3,Both,22,All ages,441,Colon and rectum cancer,1,Number,1990,2447.7625744354505,2639.8170061601713,2228.4816264835727
1,Deaths,545,Michigan,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,1990,209.75358983381602,229.63584083762154,189.96459542803925
1,Deaths,545,Michigan,3,Both,22,All ages,447,Nasopharynx cancer,1,Number,1990,29.97598748925785,34.27377532248753,24.6779141425237
1,Deaths,545,Michigan,3,Both,22,All ages,450,Other pharynx cancer,1,Number,1990,71.27975107839764,79.74049153453096,64.72719981089318
1,Deaths,545,Michigan,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1990,166.84913649856242,183.55734161806257,150.85361865932038
1,Deaths,545,Michigan,3,Both,22,All ages,456,Pancreatic cancer,1,Number,1990,1049.694086442293,1130.4983635149936,970.5207941240112
1,Deaths,545,Michigan,3,Both,22,All ages,462,Non-melanoma skin cancer,1,Number,1990,74.87171310829642,87.59513163428596,65.51700084647155
1,Deaths,545,Michigan,3,Both,22,All ages,465,Ovarian cancer,1,Number,1990,516.421775397731,565.8146689791026,465.7683795303322
