measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,435,Uterine cancer,108,High body-mass index,3,Rate,1990,12.840582285970001,17.317477786319998,8.98916449643
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,435,Uterine cancer,108,High body-mass index,3,Rate,1995,13.74106946979,17.99772821279,9.544350407049999
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,435,Uterine cancer,108,High body-mass index,3,Rate,2000,14.443844128990001,18.78212258446,10.14538514258
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,435,Uterine cancer,108,High body-mass index,3,Rate,2005,16.81693356326,22.72794796198,11.486927418199999
2,DALYs (Disability-Adjusted Life Years),523,Alabama,3,Both,22,All ages,450,Other pharynx cancer,98,Tobacco,3,Rate,1990,12.846299759,15.83563462017,10.23535095607
2,DALYs (Disability-Adjusted Life Years),523,Alabama,3,Both,22,All ages,450,Other pharynx cancer,98,Tobacco,3,Rate,1995,12.1395520352,14.67126034542,9.82430910587
2,DALYs (Disability-Adjusted Life Years),523,Alabama,3,Both,22,All ages,450,Other pharynx cancer,98,Tobacco,3,Rate,2000,11.89606121149,14.198767644630001,9.47231943566
2,DALYs (Disability-Adjusted Life Years),523,Alabama,3,Both,22,All ages,450,Other pharynx cancer,98,Tobacco,3,Rate,2005,12.86716592271,15.676798146510002,9.96424446078
2,DALYs (Disability-Adjusted Life Years),523,Alabama,3,Both,22,All ages,456,Pancreatic cancer,98,Tobacco,3,Rate,1990,49.32469618827,58.52092116088,43.20867245544
2,DALYs (Disability-Adjusted Life Years),523,Alabama,3,Both,22,All ages,456,Pancreatic cancer,98,Tobacco,3,Rate,1995,55.516047814610005,65.43448150345999,47.381440030600004
2,DALYs (Disability-Adjusted Life Years),523,Alabama,3,Both,22,All ages,456,Pancreatic cancer,98,Tobacco,3,Rate,2000,58.81660957404,68.19784144819,51.34386784459
2,DALYs (Disability-Adjusted Life Years),523,Alabama,3,Both,22,All ages,456,Pancreatic cancer,98,Tobacco,3,Rate,2005,63.148376080039995,72.25250503695,54.67471568906
2,DALYs (Disability-Adjusted Life Years),524,Alaska,3,Both,22,All ages,432,Cervical cancer,170,Unsafe sex,3,Rate,1990,51.82191048802,61.39213036887,43.18394871265
2,DALYs (Disability-Adjusted Life Years),524,Alaska,3,Both,22,All ages,432,Cervical cancer,170,Unsafe sex,3,Rate,1995,49.62108955924,58.46653593562,40.86375947835
2,DALYs (Disability-Adjusted Life Years),524,Alaska,3,Both,22,All ages,432,Cervical cancer,170,Unsafe sex,3,Rate,2000,51.197213671040004,60.63160723512,43.47241083673
2,DALYs (Disability-Adjusted Life Years),524,Alaska,3,Both,22,All ages,432,Cervical cancer,170,Unsafe sex,3,Rate,2005,48.81656786439,57.2995356497,41.23700349381
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,471,Kidney cancer,108,High body-mass index,3,Rate,1990,21.56475300196,34.54782361785,9.29827513627
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,471,Kidney cancer,108,High body-mass index,3,Rate,1995,24.09018222212,36.94412712141,10.53968676761
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,471,Kidney cancer,108,High body-mass index,3,Rate,2000,27.27097367188,41.90566626455,11.78310410918
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,471,Kidney cancer,108,High body-mass index,3,Rate,2005,30.23286574176,45.95703591592,13.1500234763
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,438,Prostate cancer,110,Dietary risks,3,Rate,1990,-0.63267183498,0.10357687636,-1.4889717349
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,438,Prostate cancer,110,Dietary risks,3,Rate,1995,-0.56369066609,0.08412778648000001,-1.3129617978400001
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,438,Prostate cancer,110,Dietary risks,3,Rate,2000,-0.45000304059999996,0.06851450342000001,-1.0116480244
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,438,Prostate cancer,110,Dietary risks,3,Rate,2005,-0.41204440725,0.060347184170000005,-0.9783826913000001
2,DALYs (Disability-Adjusted Life Years),524,Alaska,3,Both,22,All ages,456,Pancreatic cancer,108,High body-mass index,3,Rate,1990,3.4607470823099997,8.248884957769999,-1.1404167081099998
2,DALYs (Disability-Adjusted Life Years),524,Alaska,3,Both,22,All ages,456,Pancreatic cancer,108,High body-mass index,3,Rate,1995,4.61320143524,10.34637843767,-1.10484367255
2,DALYs (Disability-Adjusted Life Years),524,Alaska,3,Both,22,All ages,456,Pancreatic cancer,108,High body-mass index,3,Rate,2000,6.43926713394,14.06398639635,-1.13155373249
2,DALYs (Disability-Adjusted Life Years),524,Alaska,3,Both,22,All ages,456,Pancreatic cancer,108,High body-mass index,3,Rate,2005,8.10759041455,17.85756827385,-0.9761459529300001
2,DALYs (Disability-Adjusted Life Years),525,Arizona,3,Both,22,All ages,474,Bladder cancer,98,Tobacco,3,Rate,1990,31.09389037056,36.5768295864,25.347235395760002
